2020-06-28 01:14:10 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 1438) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1114, 1438) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1438) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1438) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1339) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1240) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1141) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 1042) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 943) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 844) for path existence...
2020-06-28 01:20:07 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 745) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 646) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 547) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 448) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 349) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 250) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 151) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 52) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1198, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1099, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1000, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (901, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (802, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (703, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (604, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (505, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (406, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 12) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 111) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 210) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 309) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 408) for path existence...
2020-06-28 01:20:08 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 507) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 606) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (322, 705) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 701) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 602) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 503) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 404) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 305) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 206) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 107) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 12) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (288, 12) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (189, 12) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (90, 12) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 12) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 12) for path existence...
2020-06-28 01:20:09 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (12, 12) for path existence...
2020-06-28 01:53:57 [DEBUG]: tt.jointeuclid2ni.probleminstance.EarliestArrivalProblem - The environment consist of boundary and 0 obstacles, with total 12 corners.
2020-06-28 01:53:57 [INFO ]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - Constructing the grid-based roadmap. There is 25 points at deflated boundary, 0 points at inflated obstacles and 122 custom points. 
2020-06-28 01:53:57 [INFO ]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - Done... |V|=896 |E|=10468
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - There is 94docks maintaining connectivity
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 17) for path existence...
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 116) for path existence...
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 215) for path existence...
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 314) for path existence...
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 413) for path existence...
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 512) for path existence...
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 611) for path existence...
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 710) for path existence...
2020-06-28 01:54:01 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 809) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 908) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1007) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1106) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1205) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1304) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1403) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1433) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1433) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (116, 1433) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (215, 1433) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1433) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1433) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1334) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1235) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1136) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1037) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 938) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 850) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 850) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 850) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 850) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 949) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1048) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1147) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1246) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1345) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1433) for path existence...
2020-06-28 01:54:02 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (426, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (525, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (624, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (723, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (822, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (921, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1020, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1119, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 1433) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 1334) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 1235) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 1136) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 1037) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 938) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 839) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 740) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 641) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 542) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 443) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 344) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 245) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 146) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 47) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 17) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 17) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1094, 17) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (995, 17) for path existence...
2020-06-28 01:54:03 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (896, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (797, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (698, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (599, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (500, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (401, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 116) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 215) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 314) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 413) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 512) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 611) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 710) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 701) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 602) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 503) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 404) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 305) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 206) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 107) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (184, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (85, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 17) for path existence...
2020-06-28 01:54:04 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 17) for path existence...
2020-06-28 01:58:44 [DEBUG]: tt.jointeuclid2ni.probleminstance.EarliestArrivalProblem - The environment consist of boundary and 0 obstacles, with total 12 corners.
2020-06-28 01:58:44 [INFO ]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - Constructing the grid-based roadmap. There is 25 points at deflated boundary, 0 points at inflated obstacles and 122 custom points. 
2020-06-28 01:58:44 [INFO ]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - Done... |V|=553 |E|=4448
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - There is 94docks maintaining connectivity
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 17) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 116) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 215) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 314) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 413) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 512) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 611) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 710) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 809) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 908) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1007) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1106) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1205) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1304) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1403) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (17, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (116, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (215, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1334) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1235) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1136) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 1037) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 938) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 850) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (283, 850) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 850) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 850) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 949) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1048) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1147) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1246) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1345) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (327, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (426, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (525, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (624, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (723, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (822, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (921, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1020, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1119, 1433) for path existence...
2020-06-28 01:58:46 [DEBUG]: tt.jointeuclid2ni.probleminstance.generator.TriangulationGenerator - checking dock (1193, 1433) for path existence...
